original_title,title,series,series_key
魔法少女かずみ☆マギカ ~The innocent malice~ 3巻,魔法少女かずみ☆マギカ ~The innocent malice~ 3巻,魔法少女かずみ☆マギカ ~The innocent malice~,魔法少女かずみマギカtheinnocentmalice
魔法少女かずみ☆マギカ ~The innocent malice~ 4巻 魔法少女かずみ☆マギカ ~The innocent malice~,魔法少女かずみ☆マギカ ~The innocent malice~ 4巻,魔法少女かずみ☆マギカ ~The innocent malice~,魔法少女かずみマギカtheinnocentmalice
鬼灯の冷徹 七 (モーニングコミックス),鬼灯の冷徹 七,鬼灯の冷徹,鬼灯の冷徹
鬼灯の冷徹 二十一 (モーニングコミックス),鬼灯の冷徹 二十一,鬼灯の冷徹,鬼灯の冷徹
鬼畜島(3) (バンブーコミックス),鬼畜島(3),鬼畜島,鬼畜島
鬼畜島 (4) (バンブーコミックス),鬼畜島 (4),鬼畜島,鬼畜島
隣人を妹せよ: 2 (4コマKINGSぱれっとコミックス),隣人を妹せよ: 2,隣人を妹せよ,隣人を妹せよ
隣人を妹せよ!: 3 (4コマKINGSぱれっとコミックス),隣人を妹せよ!: 3,隣人を妹せよ!,隣人を妹せよ
中村明日美子コレクションVI Jの総て 3,中村明日美子コレクションVI Jの総て 3,中村明日美子コレクション,中村明日美子コレクション
スピ☆散歩 ぶらりパワスポ霊感旅 2巻,スピ☆散歩 ぶらりパワスポ霊感旅 2巻,スピ☆散歩 ぶらりパワスポ霊感旅,スピ散歩ぶらりパワスポ霊感旅
スピ☆散歩 ぶらりパワスポ霊感旅 3,スピ☆散歩 ぶらりパワスポ霊感旅 3,スピ☆散歩 ぶらりパワスポ霊感旅,スピ散歩ぶらりパワスポ霊感旅
スピ☆散歩 ぶらりパワスポ霊感旅 4 (HONKOWAコミックス),スピ☆散歩 ぶらりパワスポ霊感旅 4,スピ☆散歩 ぶらりパワスポ霊感旅,スピ散歩ぶらりパワスポ霊感旅
義風堂々!! 疾風の軍師 -黒田官兵衛-6巻,義風堂々!! 疾風の軍師 -黒田官兵衛-6巻,義風堂々!! 疾風の軍師 -黒田官兵衛-,義風堂々疾風の軍師黒田官兵衛
義風堂々!! 疾風の軍師 -黒田官兵衛- 7巻,義風堂々!! 疾風の軍師 -黒田官兵衛- 7巻,義風堂々!! 疾風の軍師 -黒田官兵衛-,義風堂々疾風の軍師黒田官兵衛
GOD EATER 2(1)<GOD EATER 2> (電撃コミックスNEXT),GOD EATER 2(1),GOD EATER 2,godeater2
ペルソナ4 The Magician<ペルソナ4 The Magician> (電撃コミックス),ペルソナ4 The Magician,ペルソナ4 The Magician,ペルソナ4themagician
【閲覧注異】 1 (ヤングチャンピオン・コミックス),【閲覧注異】 1,【閲覧注異】,閲覧注異
はたらく細胞(3)【電子限定おまけ付き】 (シリウスコミックス),はたらく細胞(3),はたらく細胞,はたらく細胞
A.【アンサー】 1 (マーガレットコミックスDIGITAL),A.【アンサー】 1,A.【アンサー】,Aアンサー
【1型】~この赤ちゃん1型糖尿病です~,【1型】~この赤ちゃん1型糖尿病です~,【1型】~この赤ちゃん1型糖尿病です~,1型この赤ちゃん1型糖尿病です
ブレス オブ ファイア 6 ボタニカル・クロニクル【アクセスコード付き】<ブレス オブ ファイア6 ボタニカル・クロニクル> (電撃コミックスEX),ブレス オブ ファイア 6 ボタニカル・クロニクル,ブレス オブ ファイア 6 ボタニカル・クロニクル,ブレスオブファイア6ボタニカルクロニクル
【電子限定おまけ付き】 gift (上) 白い獣の、聞こえぬ声の、見えない温度の、 (バーズコミックス ルチルコレクション),gift (上) 白い獣の、聞こえぬ声の、見えない温度の、,gift,gift
パラダイス・ビュー 上【新装版】 パラダイス・ビュー【単行本版】 (ビーボーイコミックスDX),パラダイス・ビュー 上,パラダイス・ビュー,パラダイスビュー
神学校-Noli me tangere- 上【おまけ漫画付き電子限定版】 神学校-Noli me tangere-【おまけ漫画付き電子限定版】 (ダリアコミックスe),神学校-Noli me tangere- 上,神学校-Noli me tangere-,神学校nolimetangere
黒子のバスケ EXTRA GAME 前編 (ジャンプコミックスDIGITAL),黒子のバスケ EXTRA GAME 前編,黒子のバスケ EXTRA GAME,黒子のバスケextragame
いなり、こんこん、恋いろは。(3)<いなり、こんこん、恋いろは。> (角川コミックス・エース),いなり、こんこん、恋いろは。(3),いなり、こんこん、恋いろは。,いなりこんこん恋いろは
桜Trick 1巻 桜Trick (まんがタイムKRコミックス),桜Trick 1巻,桜Trick,桜trick